houseName,houseScale,houseArea,houseLayers,houseDirect,builtDate,owner,community,detailAddress,price
(真)东方蓝海4期中户三房小区前排视野佳真实价格业主稳定,3室2厅,94.3㎡,低层（共28层）,南北向,2016年建,丁洁,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,20148元/㎡
世纪城徽杰苑 配套成熟 户型敞亮,3室1厅,137.55㎡,低层（共28层）,南向,2011年建,黄良才,滨湖世纪城徽杰苑,滨湖世纪城-滨湖世纪城徽杰苑滨湖世纪城紫云路,18029元/㎡
(优)中海滨湖公馆户型方正经典三室近地铁业主急售!,3室2厅,91㎡,低层（共40层）,南北向,2017年建,吕莫平,中海滨湖公馆,高速滨湖时代广场-中海滨湖公馆,21978元/㎡
(真)精装修94平2室2厅电梯房南北通透看房方便有钥匙,2室2厅,94.9㎡,中层（共33层）,南北向,2016年建,丁洁,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,20969元/㎡
宝能城手好房!(只此一套通透三房)房东忍痛割爱诚心卖,3室2厅,94㎡,低层（共18层）,南北向,2016年建,韩锋,合肥宝能城,文化旅游城-合肥宝能城,21276元/㎡
香格里拉花园二环内地铁口精装大三房电梯洋房南北通透户型,3室2厅,109㎡,中层（共11层）,南北向,2010年建,卢文江,香格里拉花园,安徽大市场-临泉路合家福购物广场旁,12110元/㎡
龙湖天街 丽水天锦苑 刚需三室 采光不影响急售,3室2厅,94.5㎡,低层（共6层）,南北向,2012年建,卢文江,丽水天锦苑,长江批发市场-临泉路与龙岗大道交汇处向东100米,10899元/㎡
(优)急卖急卖淮矿优选好房楼层好采光优双地铁沿线66,2室2厅,81.8㎡,中层（共32层）,南北向,2015年建,吕莫平,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,19315元/㎡
(真)淮矿D区边户三房采光视野无遮挡近地铁有钥匙,3室2厅,99㎡,中层（共31层）,南向,2017年建,丁洁,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,21717元/㎡
"金科四季春晓,房企十强物业前8,总价100万买市区产证,配套",3室2厅,88㎡,中层（共22层）,南北向,2020年建,夏莉莉,恒大城,龙岗-临泉东路与吴敬梓路交汇东北,11250元/㎡
新站区+央企保利+地铁三号线纯地铁口+洋房+精装交付+无中.价费,3室2厅,93.8㎡,中层（共20层）,南北向,郑超,,正荣·悦都荟,生态公园-淮海大道与大众路交口,13326元/㎡
宝业城市绿苑东区 南北通透 户型方正 采光刺眼 周边配套齐全,2室2厅,97㎡,中层（共6层）,南北向,2013年建,孙倩倩,宝业城市绿苑东区,市二院-宝业城市绿苑东区,15670元/㎡
小区前排视野开阔直观塘西河公园业主诚意出售,3室2厅,97.8㎡,中层（共32层）,南向,2012年建,黄良才,蓝鼎滨湖假日枫丹园,滨湖假日-蓝鼎滨湖假日枫丹园,22699元/㎡
(优)东方蓝海精装修全送南北通透两房好楼层业主置换诚心出售,2室2厅,94.9㎡,中层（共33层）,南北向,2015年建,吕莫平,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,20969元/㎡
(优)保真有钥匙中高层采光刺眼满二无税业主诚心卖到价就签,3室2厅,98.6㎡,高层（共31层）,南北向,2017年建,吕莫平,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,21805元/㎡
恒大城二期人车分流精装修保养好,3室2厅,94.41㎡,中层（共26层）,南向,2014年建,夏莉莉,恒大城,龙岗-临泉东路与吴敬梓路交汇东北,12975元/㎡
2号地铁口+海尔公馆+次新小区+三房中上楼层无税+近万达保利,3室2厅,83.69㎡,高层（共18层）,南向,2017年建,郭蓉,海尔公馆,长江批发市场-海尔公馆,15294元/㎡
(真)滨湖宝能城二期户型方正利用合理采光通透,4室2厅,108㎡,低层（共33层）,东向,2018年建,丁洁,合肥宝能城,文化旅游城-合肥宝能城,18055元/㎡
(真)地铁口金融中心央企三室两厅小区南北通透,3室2厅,91.3㎡,中层（共18层）,南北向,2016年建,丁洁,保利海上五月花,文化旅游城-保利海上五月花南宁路与金斗西路交口东南角,25739元/㎡
瑶海新房2号线地铁口旁好楼层边户龙湖天街配套成熟,3室2厅,95㎡,中层（共20层）,南北向,2019年建,何澳归,翡丽东方,临泉东路-半塔北路与丰乐亭路交口,11842元/㎡
"(优)280万带车产权车位,楼旺位置采光本周必卖!",4室2厅,135.3㎡,高层（共29层）,南北向,2016年建,吕莫平,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,20694元/㎡
(优)保真143平仅售256W有钥匙低于市场价15万急售,4室2厅,143.1㎡,中层（共33层）,南北向,2017年建,吕莫平,合肥宝能城,文化旅游城-合肥宝能城,17679元/㎡
()春融苑3房87平加赠送实际面积大于100平,3室2厅,87㎡,低层（共33层）,东向,2012年建,黄良才,滨湖世纪城春融苑,滨湖世纪城-滨湖世纪城春融苑广西路于万泉河路交叉口,19885元/㎡
东边户3房2卫南北通透4号线生态公园武里山天街,3室2厅,108.2㎡,低层（共6层）,南北向,2015年建,郭蓉,香江生态丽景,生态公园-香江生态丽景,11552元/㎡
4号线地铁口森海豪庭114平精装三室双卫南北通透,3室2厅,114.63㎡,中层（共6层）,南北向,2006年建,夏莉莉,森海豪庭,安徽大市场-临泉路与当涂路交叉口,12213元/㎡
(优)三天必卖房(195万大三房在售)业主诚心买房少受伤,3室2厅,92.2㎡,低层（共18层）,南北向,2017年建,吕莫平,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,21149元/㎡
宝能城一期东边户大4房南北通纯毛坯价格视野好,4室2厅,135㎡,高层（共33层）,南向,2017年建,韩锋,合肥宝能城,文化旅游城-合肥宝能城,19629元/㎡
近地铁+近學校+特价房+三房+有电梯+总价100万左右+VR在线看房,3室2厅,89㎡,中层（共28层）,南北向,2012年建,郑超,恒大城,龙岗-临泉东路与吴敬梓路交汇东北,10674元/㎡
保利东郡三室两厅 全新房在售 看房方便 环境好,3室1厅,95㎡,高层（共35层）,南北向,2018年建,王德成,保利东郡,龙岗-保利东郡新安江路以南、郎溪路以东,14315元/㎡
禹洲城一期 电梯房 南北通透 精装修 采光好 周边商圈,3室2厅,86.8㎡,低层（共34层）,南北向,2018年建,夏莉莉,禹洲中央城,生态公园-新蚌埠路与物流大道交口西南角,14976元/㎡
职教城板块+轨道三号线+自带商业+精装修+送车位+地暖+新风,4室2厅,119.19㎡,高层（共11层）,南北向,2015年建,孙晨,正荣·悦都荟,生态公园-淮海大道与大众路交口,12501元/㎡
挑高复式学通燃气地铁口新周谷堆肥东新城,2室1厅,38㎡,中层（共18层）,南北向,2018年建,孙晨,文一名门金隅,撮镇-裕溪路与东风大道交口,6736元/㎡
央国企保利+精装科技洋房+暖气新风系统+地铁口始发站+自持物,4室2厅,120㎡,中层（共6层）,南向,2015年建,孙晨,保利罗兰香谷,生态公园-相城路与淮海大道交口西北角,13333元/㎡
高新限价盘金鹏麓山院旁精装洋房南北通透户型方正采光好,3室2厅,120㎡,中层（共8层）,南向,2020年建,孙晨,金鹏麓山院,蜀山新产业园-方兴大道与彩虹路交口西南,16666元/㎡
"肥东东部中心,地铁2号线延长线,安师大,折扣力度大",3室2厅,109.8㎡,中层（共24层）,南北向,2017年建,孙晨,远洋·万和云锦,长江东路-包公大道与柳孜路交口西南角,9198元/㎡
四里河板块合肥院子别墅洋房复式湖光山色景观42中南北通透湿地,4室2厅,145.7㎡,中层（共11层）,南北向,2019年建,孙晨,文一泰禾·合肥院子,大杨镇-西二环董铺路与四里河路交口(董铺路999号),15991元/㎡
合肥雅居精装三房一手新房168有团购价,3室2厅,102.4㎡,中层（共18层）,南北向,2020年建,孙晨,合肥雅郡,生态公园-卧龙湖路与龙子湖路交口,12207元/㎡
华地现房纯毛坯花园洋房清新自在悠然即买即入住,4室2厅,119.24㎡,高层（共11层）,南北向,2018年建,孙晨,华地森林语,岗集-阜阳北路与汝阳路交口往东100米,11740元/㎡
高新区2号线地铁口现房即买即住成熟地段配套齐全租住不愁,1室1厅,46㎡,中层（共29层）,南北向,2015年建,孙晨,长江8号,大蜀山-创新大道与磨子潭路交口,10000元/㎡
新站区核心地铁口500强绿地伯士公馆花园洋房精装交付,4室2厅,135㎡,中层（共11层）,南北向,2019年建,孙晨,绿地柏仕公馆,瑶海工业园-烈山路与岱河路交口,12222元/㎡
"万达揽湖苑 163万普通装修,阔绰客厅,阳台,身份象征,",2室2厅,76.61㎡,中层（共32层）,南向,2015年建,方太蕾,万达揽湖苑,文化旅游城-万达揽湖苑庐州大道和贵阳路交口,21276元/㎡
必看好房只发实价五月花精装自住双地铁沿线看房方便,3室2厅,105.8㎡,高层（共41层）,南北向,2015年建,敬起福,保利海上五月花,文化旅游城-保利海上五月花南宁路与金斗西路交口东南角,23156元/㎡
()品质小区高楼层边户四房南北通透有钥匙,4室2厅,114㎡,中层（共42层）,南北向,2016年建,敬起福,中海滨湖公馆,高速滨湖时代广场-中海滨湖公馆,25877元/㎡
金大地1912 稻小50中 三室两厅一卫 全民户型 中层无遮挡 急售中,3室2厅,83㎡,高层（共33层）,南向,2012年建,罗敏,金大地1912,黄岳路口-金大地1912黄山路和怀宁路交口,21445元/㎡
义和优选房 业主置换 大三房 南北通透 拎包入住看房提前约看,3室2厅,115.11㎡,高层（共29层）,南向,2010年建,罗敏,信旺华府骏苑,轴承厂-信旺华府骏苑潜山路与望江路交汇处向东300米,14334元/㎡
淮海大道新站雅居乐合肥雅郡精装修交付,3室2厅,102㎡,中层（共16层）,南北向,2015年建,罗敏,合肥雅郡,生态公园-合肥雅郡卧龙湖路与龙子湖路交口,12117元/㎡
4号线地铁口168学.区精装修3居室双公园配套齐全,3室2厅,92㎡,中层（共20层）,南北向,2019年建,罗敏,合肥雅郡,生态公园-合肥雅郡卧龙湖路与龙子湖路交口,13804元/㎡
(优)加车位品质小区南北通四十六地铁环境好,3室2厅,91㎡,低层（共40层）,南北向,2016年建,敬起福,中海滨湖公馆,高速滨湖时代广场-中海滨湖公馆,21978元/㎡
中庙碧桂园滨湖城玉树琼林别墅 6室2厅,6室2厅,294㎡,高层（共2层）,南北向,,,碧桂园滨湖城别墅,半汤新城区-安徽省忠庙镇街道办事处,16972元/㎡
"多层3楼阳光好, 安凯小区 2室2厅",2室2厅,80㎡,中层（共6层）,南北向,,,安凯小区,葛大店-葛淝路97号,11125元/㎡
(优)口新风系统全屋地暖金斗公园精装一次未住急售,3室2厅,99㎡,低层（共28层）,南北向,2017年建,方太蕾,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,22222元/㎡
信旺精装大复式+五个卧室++拎包入住+望潜交口,5室2厅,277.58㎡,高层（共28层）,南向,2014年建,左俊,信旺华府骏苑,轴承厂-信旺华府骏苑潜山路与望江路交汇处向东300米,12897元/㎡
文一锦门桃李一中省医旁边近地铁商圈环伺配套齐全,4室2厅,98㎡,中层（共11层）,南北向,2019年建,左俊,文一锦门北韵,北城新区-文一锦门北韵蒙城北路与魏武路交口,11428元/㎡
(优)淮矿E区稀有大三房两南一北视野房看房方便,3室2厅,118㎡,高层（共24层）,南北向,2017年建,敬起福,淮矿东方蓝海,文化旅游城-淮矿东方蓝海,22881元/㎡
